check,SUBJECT,type,online (fall),hybrid (fall),in-person (fall),online (spring),hybrid (spring),in-person (spring),trinity/pratt,major/minor/cert/none,BS/BA/both,ROTC,language,NOTES,Additional Notes
o,Classical Studies:,Classical Studies,7,5,0,4,5,0,t,major,BA,0,0,"crosslisted: (FALL) - JEWS, CONVERTS, AND APOSTATES, THE ANCIENT MIND, TROY: EXCAVATING AN EPIC, Liberty and Equality: Ancient and Modern Perspectives, Virtual Museums: Theories and Methods of Twenty-First-Century Museums, Greek and Roman Religion, History of Ancient Philosophy, Democracy: Ancient and Modern, Drama of Greece and Rome, Greek and Roman Law (SPRING) - THE ARCHAEOLOGY OF DEATH, Seven Wonders: Monuments and Cultures of the Ancient Mediterranean, The Age of Nero: History, Art, and Literature, Gender and Sexuality in the Ancient World, History of Ancient Philosophy, Roman History",
o,Computer Science:,department ,19,1,0,23,0,0,t,major,both,0,0,"crosslisted: (FALL) - computer architecture, intro to operating systems, digital systems, computer network architecture, topological data analysis, introduction to high dimensional data analysis (SPRING) - Introduction to Digital Feminism, Computer Architecture, Introduction to Operating Systems, Digital Systems, Computer Network Architecture",omitted bass connections
x,Cultural Anthropology:,department,16,15,1,34,13,6,t,major,BA,0,0,"crosslisted: (SPRING):studies in special topics;  first year seminar, introduction to cultural anthropology,  introduction to human rights: gateway for the human rights certificate, introduction to african studies, the documentary experience, empires in modern european history, Comparative Approaches to Global Issues, Introduction to Linguistics, Languages of the World, Arab Cultures: Literature, Politics, History;, Global Culture, Gender and Language; Farmworkers in North Carolina: Roots of Poverty, Roots of Change , Islamic Civilization I, Documenting Black Experiences, Gender and Culture; Istanbul: Religion, Politics and Cosmopolitanism; Current Issues in Anthropology; Global Humanitarianism; Fieldwork Methods: Cultural Analysis and Interpretation; Theory Today: Introduction to the Study of Literature; White People: In Anthropological Perspective; Health, Culture, and the Latino Community |; Conflict Analysis in Africa (Case Studies) ; Dancing States of Mind: The Self, Social and Political Practice of Dance; War and Public Health in Africa ; Fundamentals of Global Mental Health; Migrations; Undocumented America in Literature; Narratives of Migration; The University as a Culture: A Survivor's Guide ; Anthropology of Money ; African Cities, Development, and Climate Change ; Global Russia; Indigenous Americas ; Medical Anthropology ; Capstone: Research in Human Rights; Advertising and Society: Global Perspective (DS4); The Law and Language; Anthropology and Education; Love and Loneliness: What's Happening to Relationships in the Twenty-First Century?; Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights; The History of Hip-Hop; Mayas, Aztecs, and Incas: The World According to the Indigenous People of Latin America; Meaning, Mattering, and Black Being-in-the-World: Towards a Critical Theory of Race and Value     (FALL) (same as spring) Human Rights: Back to the Future; Enterprising Leadership and Civic Engagement; Patient and Research Participant Activism and Advocacy ; Marxism and Society; Language and Society; Shamanism and Spirit Possession; Indian Civilization ; Introduction to Performance Studies; Global Stories, Local Issues ; Human Rights on Camera ; Our Culinary Cultures; Black Gods and Kings: Priests and Practices of the Afro-Atlantic Religions; Sex/Gender - Nature/Nurture: Intersections of Biology and Society;Life and Death: Global Perspectives; Displacements: Migration and Human Trafficking; The World of Japanese Pop Culture ; Global Russia; Two Koreas: History, Society and Culture |",omitted independent studies and research independent studies
x,Dance:,department,7,10,6,6,8,11,t,major,BA,0,0,"crosslisted (FALL): Introduction to Dance; T'ai Chi and Chinese Thought; Special Topics Seminar; Dance for the Camera ; Black Theater Workshop; West African Rootholds in Dance ; Black Dance ; Gender in Dance and Theatre ; Artists in Healthcare: Collaborations and Complexities ; Dance Science: An Evolutionary Approach ; Legal Issues for the Performing Arts ; Special Topics. (SPRING): First-Year Seminar ; Experimental Sculpture and Installation Art; Let's Dance! Live Art and Performance ; Arts Entrepreneurship ; Non-Profit Cultural Institutions ; Special Topics Seminar; Dance for the Camera ; Performance and Technology: Composition Workshop ; Dancing States of Mind: The Self, Social and Political Practice of Dance ; Dance and Dance Theater of Asia ; Pedagogies of Dance ; ",included individual dance program: special topics (in person)
x,Documentary Studies:,,13,11,2,25,6,3,t,certificate,,0,0,"Crosslisted (FALL): Video Journalism; 16mm Film Production ; Magazine Journalism; Sound for Film and Video; Our Culinary Cultures; Environmental Issues & the Documentary Arts; Special Topics in Documentary Studies; Editing for Film and Video ; Cinematography ; Dance for the Camera ; Color Photography: Fieldwork and Digital Color ; Sociology through Photography; Global Stories, Local Issues; ocumentary Photography and the Southern Culture Landscape; Digital Documentary Photography: Education, Childhood, and Growth ; Medicine and the Vision of Documentary Photography; Documenting the Middle East: Community and Oral History; Introduction to Audio Documentary; Introduction to Digital Photography; Introduction to Black and White Photography; Introduction to Oral History ; History of Documentary Film; The Documentary Experience: A Video Approach; Traditions in Documentary Studies. (SPRING): Recycled Cinema ; News as a Moral Battleground; Video Journalism ; The Documentary Turn: Southern Culture ; Art of the Interview ; Understanding Mediation ; 16mm Film Production ; Documenting Black Experiences ; Farmworkers in North Carolina: Roots of Poverty, Roots of Change ; Migrations ; The South in Black and White  ; Photo Workshop ; Veterans Oral History Project ; Non-Profit Cultural Institutions ; Arts Entrepreneurship ; Editing for Film and Video ; Studies in the United States Culture Industries ; Cinematography ; Producing Docu-Fiction ; Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival  ; Religion and Film; Introduction to Film Studies ; The Photobook: History and Practice ; Dance for the Camera ; Small Town USA: Local Collaborations ; Sociology through Photography ; The Silent Film: An Introduction; Children and the Experience of Illness; Special Topics in Documentary Studies ; Introduction to Digital Photography; Introduction to Black and White Photography; The Documentary Experience: A Video Approach ; Traditions in Documentary Studies ",
x,Earth and Ocean Sciences:,,4,2,1,5,5,1,t,major,both,0,0,crosslisted (FALL): The Dynamic Oceans; Water Sciences: Principles and Challenges ; Field Methods in Earth and Environmental Sciences; Energy and the Environment; Marine Ecology; Biodiversity of Marine Invertebrates; ,
x,Economics:,department,25,20,0,29,16,1,t,major,both,0,0,,"didn't include honors seminar 1, 2"
x,Education:,department,8,14,1,9,5,2,t,minor,,0,0,"crosslisted (FALL) _First-Year Seminar; Pursuit of Equality: Rethinking Schools - Lens of Social Justice ; Medical Ethics, Aging, and End of Life Care in the US ; Enterprising Leadership and Civic Engagement ; Introduction to Engaged Citizenship and Social Change (Gateway Course) ; Digital Documentary Photography: Education, Childhood, and Growth ; Digital Documentary Photography: Education, Childhood, and Growth ; Race, Power, and Identity: From Ali to Kaepernick ; Marxism and Society ; Educational Psychology; Children, Schools, and Society ; Literacy, Writing, Tutoring ; Overlooked Children: Topics of Equity and Access in Gifted Education ; Leadership and the Changing Landscape of Health Care ; Women and the Professions; Selected Topics. (SPRING): First-Year Seminar ; Anthropology and Education ; Educational Psychology; Literacy, Writing, Tutoring ; Critical Pedagogy of Hip Hop ; De/Re/Segregation in Education: A Case of Back to the Future? ; Issues of Education and Immigration ; The University as a Culture: A Survivor's Guide ; e Course for Certificate in Civic Engagement and Social Change: Lives of Civic Engagement ; ","didn't include practicums, or tutorials because there was no information as to whether it was online or in person for the fall junior senior ones, and for all spring tutorials, so i omitted all of them to keep it consistent. the Fall freshman-sophomore tutorial was hybrid in case you want to include it"
x,Electrical & Computer Engineering:,department,15,0,0,19,2,1,p,major,BSE,0,0,crosslisted: (FALL)- Computer Architecture; Optics and Photonics; Digital Systems ; Introduction to Operating Systems; Computer Network Architecture; Control of Dynamic Systems; Ocean Engineering (SPRING)- Computer Architecture; Digital Systems; Introduction to Operating Systems; Computer Network Architecture ; Performance and Technology: Composition Workshop; Control of Dynamic Systems ; Sound in the Sea: Introduction to Marine Bioacoustics; Special Topics in Electrical and Computer Engineering ; ,"counted lab with classes, omitted special projects; special topics were counted if capacity exceeded 5"
x,English:,department,25,10,0,35,11,0,t,major,BA,0,0,"crosslisted (FALL): First-Year Seminar on Literature; Focus Program Seminar: Topics on Literature ; Introduction to Performance Studies ; Ready for Prime Time: Writing the Dramatic TV Episode ; Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen  ; Writing Movies and Plays: Adaptation ; Modern European Short Fiction;  Social Marketing: From Literary Celebrities to Instagram Influencers ; Social Marketing: From Literary Celebrities to Instagram Influencers ; African Diaspora Literature: Twentieth- and Twenty-First-Century Black Writers ; American Dreams, American Movies  ; Special Topics in Language and Literature ; Special Topics in Creative Writing  ; Shakespeare through 1600 ; Milton ; The Detective Novel  ; James Baldwin and Toni Morrison ; Language and Society  ; Special Topics in Language and Literature . (SPRING): Introduction to Film Studies ; Special Topics in Language and Literature  ; Variety in Language: English in the United States  ; Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen  ; Dramatic Writing ; Writing the Musical Book ; Shakespeare; Shakespeare's Nature  ; America from Abroad: Literature and Cinema ; Social Marketing: From Literary Celebrities to Instagram Influencers ; Medieval Christianity in Film and Fiction; Religion and the Novel in Modern India ; Introduction to Asian American and Diaspora Studies ;  American Apocalypse: Beat Generation Spirituality ;  Book Publishing & Marketing: A Case Study of the Romance Fiction Industry  ;  Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney; Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights ;  Modern Drama: 1940-2000l Fictions That Mark the Moment ; The History of Hip-Hop ; Science Fiction Film ; Asian American Theatre ; Narratives of Migration; Understanding Mediation ; ","excluded media internship and independent studies ; no dig media internship, no distinction creative writing independent study, no distinction critical research"
x,Environmental Sciences and Policy:,,23,9,4,23,15,1,t,major,BA,0,0,,
x,Evolutionary Anthropology:,department,7,2,0,8,2,1,t,major,both,0,0,crosslisted (FALL): Behavioral Ecology and the Evolution of Animal Behavior; Dance Science: An Evolutionary Approach ; ,
x,"Gender, Sexuality & Feminist Studies:",department,20,3,4,23,4,2,t,major,BA,0,0,"(FALL): Gateway Seminar: The Global Sixties: Race, Revolution, Sexuality ; Special Topics in Women's Studies ; Intersections of the Sexual Brain ; Comparative Approaches to Global Issues; Introduction to LGBTQ Studies ; The French Love Story  ; Gender in Dance and Theatre ; Gender and Socialism ; Case Studies in Global Sexual and Reproductive Health ; Women at Work: Gendered Experience of Corporate Life; Women and the Political Process; Women in the Economy; Sex/Gender - Nature/Nurture: Intersections of Biology and Society ; Selected Topics in Women's Studies ; Bad Behavior ; Brains, Everywhere ; Money, Sex, Power; Race, Gender, and Sexuality; Transnational Feminism ; James Baldwin and Toni Morrison ; Capstone Seminar - Globalization: Asia and Asian America; ",
x,German Studies:,department,9,3,0,7,7,0,t,major,BA,0,1,,
x,Global Health:,,15,12,1,15,5,1,t,co-major,,0,0,"(FALL):History of Chinese Medicine; Climate, Coffee, and Coronavirus: Why Ecology Matters to Human Health ; To Boldly Go! Global Health and the American Way of Engagement; Patient and Research Participant Activism and Advocacy ; Transnational Feminism ; Global Health Ethics: Policy Choice as Value Conflict ; Case Studies in Global Sexual and Reproductive Health  ; Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies ; Entrepreneurial Problem Solving in Global Health; Leadership and the Changing Landscape of Health Care ; Special Topics in Global Health ; Oceans in Human and Environmental Health ; Planetary Health: Ecosystems, Human Health and Policy ; Medical Anthropology; Global Displacement: Voix Francophones  ; Health, Culture, and the Latino Community ; Life and Death: Global Perspectives ; Research Methods in Global Health ; Reimagining the World Together: Why Friendship Matters for Our Future ; Duke-Administered Study Abroad: Special Topics in Global Health |; Special Topics in Global Health Studies; ",left out bass connections and independent study 
x,"Health, Physical Education, & Recreation:",department,5,13,6,7,7,8,,,,0,0,,
